942.47,942.47,942.47,942.47,942.47,942.47,942.47,942.47,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1814.03
-5.81,-5.81,-4.62,-4.17,1206.23,1206.23,1206.23,1206.23,1612.67,1612.67,1612.67,1612.67,1612.67,1612.67,1612.67,1612.67,1612.67,1612.67,1612.67,1612.67
-3.24,-3.24,-3.24,174.98,174.98,249.31,249.31,249.31,249.31,249.31,249.31,249.31,249.31,249.31,249.31,249.31,784.86,784.86,784.86,784.86
-8.64,-6.55,3.14,3.14,3.14,3.14,214.18,214.18,214.18,630.32,630.32,630.32,1206.23,1206.23,1206.23,1206.23,1206.23,1206.23,1206.23,1206.23
-2.29,-2.29,185.52,185.52,185.52,185.52,1803.35,1803.35,1803.35,1803.35,1803.35,2866.5,2866.5,2866.5,2866.5,2866.5,2866.5,2866.5,2866.5,2866.5
363.61,363.61,3521.05,3521.05,3521.05,3521.05,3521.05,3521.05,3521.05,3521.05,3544.73,3544.73,3544.73,3544.73,3544.73,3544.73,3544.73,3544.73,3544.73,3544.73
288.87,288.87,3908.33,3908.33,3908.33,3908.33,3908.33,3908.33,3908.33,3908.33,3908.33,3908.33,3521.05,3521.05,3521.05,3521.05,3521.05,3521.05,3521.05,3521.05
80.75,80.75,80.75,80.75,80.75,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34,1409.34
-5.05,-5.05,-3.33,-3.33,-3.33,-3.33,-2.13,-2.13,-2.13,-2.13,229.92,229.92,229.92,229.92,255.91,255.91,255.91,2481.25,2481.25,2481.25
-3.52,-3.52,650.11,650.11,650.11,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25,2481.25
