702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,702.69,718.59,718.59,718.59,1744.73
507.38,507.38,875.91,875.91,875.91,875.91,875.91,875.91,1149.03,1149.03,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21
114.34,280.76,280.76,590.53,590.53,323.29,323.29,323.29,323.29,323.29,323.29,718.59,718.59,718.59,718.59,718.59,718.59,821.15,821.15,821.15
894.32,894.32,894.32,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,2245.91
402.17,402.17,402.17,402.17,402.17,402.17,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35
921.67,921.67,921.67,921.67,921.67,921.67,921.67,921.67,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,1744.73
2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21,2629.21
-29.04,280.76,280.76,280.76,280.76,718.59,718.59,718.59,718.59,766.04,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91
80.42,280.76,280.76,394.91,394.91,394.91,394.91,394.91,394.91,394.91,394.91,394.91,718.59,718.59,718.59,718.59,718.59,766.04,766.04,2245.91
415.07,415.07,648.2,648.2,648.2,648.2,1065.69,1065.69,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,2245.91,1744.73,1744.73
